Tag,Attributes,Text
div,"{'class': ['cky-accordion-wrapper'], 'data-cky-tag': 'detail-categories'}","NiezbędneZawsze aktywneNiezbędne pliki cookie mają kluczowe znaczenie dla podstawowych funkcji witryny i witryna nie będzie działać w zamierzony sposób bez nich.Te pliki cookie nie przechowują żadnych danych umożliwiających identyfikację osoby.Plik cookierecCzas trwania1 rokOpisTen plik cookie jest używany  do identyfikacji koszyka zakupowego i listy życzeń klienta.Plik cookiePHPSESSIDCzas trwaniasesjaOpisTen plik cookie jest natywny dla aplikacji PHP. Ten plik cookie przechowuje i określa unikalny identyfikator sesji użytkownika w celu zarządzania sesjami użytkowników w witrynie. Ten plik cookie jest plikiem sesyjnym i zostanie usunięty po zamknięciu wszystkich okien przeglądarki.Plik cookie_gcl_auCzas trwania3 miesiąceOpisGoogle Tag Manager ustawia ten plik cookie, aby sprawdzić skuteczność reklamową witryn korzystających z ich usług.Plik cookiecookieyes-consentCzas trwania1 rokOpisCookieYes ustawia ten plik cookie w celu zapamiętania preferencji zgody użytkowników, aby ich preferencje były respektowane podczas kolejnych wizyt na tej witrynie. Nie zbiera on ani nie przechowuje żadnych danych osobowych osób odwiedzających witrynę.FunkcjonalneFunkcjonalne pliki cookie pomagają wykonywać pewne funkcje, takie jak udostępnianie zawartości witryny na platformach mediów społecznościowych, zbieranie informacji zwrotnych i inne funkcje stron trzecich.Plik cookielidcCzas trwania1 dzieńOpisLinkedIn ustawia plik cookie lidc, aby ułatwić wybór centrum danych.Plik cookieUserMatchHistoryCzas trwania1 miesiącOpisLinkedIn ustawia ten plik cookie w celu synchronizacji identyfikatorów LinkedIn Ads.Plik cookieli_gcCzas trwania6 miesięcyOpisLinkedin ustawia ten plik cookie do przechowywania zgody odwiedzającego na używanie plików cookie do celów innych niż zasadnicze.AnalityczneAnalityczne pliki cookie służą do zrozumienia, w jaki sposób użytkownicy wchodzą w interakcję z witryną. Te pliki cookie pomagają dostarczać informacje o metrykach liczby odwiedzających, współczynniku odrzuceń, źródle ruchu itp.Plik cookieCLIDCzas trwania1 rokOpisMicrosoft Clarity set this cookie to store information about how visitors interact with the website. The cookie helps to provide an analysis report. The data collection includes the number of visitors, where they visit the website, and the pages visited.Plik cookie_clckCzas trwania1 rokOpisMicrosoft Clarity sets this cookie to retain the browser's Clarity User ID and settings exclusive to that website. This guarantees that actions taken during subsequent visits to the same website will be linked to the same user ID.Plik cookieSMCzas trwaniasesjaOpisMicrosoft Clarity cookie set this cookie for synchronizing the MUID across Microsoft domains.Plik cookieMRCzas trwania7 dniOpisThis cookie, set by Bing, is used to collect user information for analytics purposes.Plik cookie_gaCzas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics ustawia ten plik cookie, aby zebrać dane dotyczące odwiedzających, sesji i kampanii oraz śledzić korzystanie przez użytkowników z witryny na potrzeby raportu analitycznego. Plik cookie przechowuje informacje w sposób zanonimizowany i przydziela użytkownikom losowo wygenerowany numer w celu identyfikacji odwiedzających.Plik cookieAnalyticsSyncHistoryCzas trwania1 miesiącOpisLinkedin ustawia ten plik cookie w celu przechowywania informacji na temat czasu przeprowadzenia synchronizacji z plikiem cookie lms_analytics.Plik cookie_fbpCzas trwania3 miesiąceOpisFacebook ustawia ten plik cookie w celu wyświetlania reklam podczas korzystania z Facebooka lub innej platformy cyfrowej obsługiwanej przez reklamy Facebooka po odwiedzeniu witryny.Plik cookie_ga_*Czas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics sets this cookie to store and count page views.WydajnościoweWydajnościowe pliki cookie służą do zrozumienia i analizy kluczowych wskaźników wydajności witryny, co pomaga zapewnić lepsze wrażenia użytkownika dla odwiedzających.Plik cookieMSPTCCzas trwania1 rok 24 dniOpisDescription is currently not available.Plik cookieSRM_BCzas trwania1 rok 24 dniOpisUsed by Microsoft Advertising as a unique ID for visitors.Plik cookie_uetsidCzas trwania1 dzieńOpisBing Ads sets this cookie to engage with a user that has previously visited the website.Plik cookie_uetvidCzas trwania1 rok 24 dniOpisBing Ads sets this cookie to engage with a user that has previously visited the website.ReklamoweReklamowe pliki cookie służą do dostarczania użytkownikom spersonalizowanych reklam w oparciu o strony, które odwiedzili wcześniej, oraz do analizowania skuteczności kampanii reklamowej.Plik cookietest_cookieCzas trwania15 minutOpisdoubleclick.net ustawia ten plik cookie, aby określić, czy przeglądarka użytkownika obsługuje pliki cookie.Plik cookieMUIDCzas trwania1 rok 24 dniOpisBing ustawia ten plik cookie w celu rozpoznawania unikalnych przeglądarek internetowych odwiedzających witryny Microsoft. Ten plik cookie służy do celów reklamowych, analizy witryny i innych operacji.Plik cookieANONCHKCzas trwania10 minutOpisThe ANONCHK cookie, set by Bing, is used to store a user's session ID and verify ads' clicks on the Bing search engine. The cookie helps in reporting and personalization as well.Plik cookieli_sugrCzas trwania3 miesiąceOpisLinkedIn sets this cookie to collect user behaviour data to optimise the website and make advertisements on the website more relevant.Plik cookiebcookieCzas trwania1 rokOpisLinkedIn umieszcza ten plik cookie za pomocą przycisków udostępniania LinkedIn i znaczników reklamowych w celu rozpoznania identyfikatorów przeglądarki.Plik cookiebscookieCzas trwania1 rokOpisLinkedIn ustawia ten plik cookie do zapisywania akcji wykonywanych w witrynie.Plik cookieIDECzas trwania1 rok 24 dniOpisPliki cookie Google DoubleClick IDE przechowują informacje o tym, jak użytkownik korzysta z witryny, aby wyświetlać mu reklamy zgodnie z jego profilem.Bez kategoriiInne pliki cookie bez kategorii to te, które są analizowane i nie zostały jeszcze sklasyfikowane w żadnej kategorii.Brak plików cookie do wyświetlenia."
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategorynecessary'}","NiezbędneZawsze aktywneNiezbędne pliki cookie mają kluczowe znaczenie dla podstawowych funkcji witryny i witryna nie będzie działać w zamierzony sposób bez nich.Te pliki cookie nie przechowują żadnych danych umożliwiających identyfikację osoby.Plik cookierecCzas trwania1 rokOpisTen plik cookie jest używany  do identyfikacji koszyka zakupowego i listy życzeń klienta.Plik cookiePHPSESSIDCzas trwaniasesjaOpisTen plik cookie jest natywny dla aplikacji PHP. Ten plik cookie przechowuje i określa unikalny identyfikator sesji użytkownika w celu zarządzania sesjami użytkowników w witrynie. Ten plik cookie jest plikiem sesyjnym i zostanie usunięty po zamknięciu wszystkich okien przeglądarki.Plik cookie_gcl_auCzas trwania3 miesiąceOpisGoogle Tag Manager ustawia ten plik cookie, aby sprawdzić skuteczność reklamową witryn korzystających z ich usług.Plik cookiecookieyes-consentCzas trwania1 rokOpisCookieYes ustawia ten plik cookie w celu zapamiętania preferencji zgody użytkowników, aby ich preferencje były respektowane podczas kolejnych wizyt na tej witrynie. Nie zbiera on ani nie przechowuje żadnych danych osobowych osób odwiedzających witrynę."
div,{'class': ['cky-accordion-item']},NiezbędneZawsze aktywneNiezbędne pliki cookie mają kluczowe znaczenie dla podstawowych funkcji witryny i witryna nie będzie działać w zamierzony sposób bez nich.Te pliki cookie nie przechowują żadnych danych umożliwiających identyfikację osoby.
div,{'class': ['cky-accordion-header-wrapper']},NiezbędneZawsze aktywneNiezbędne pliki cookie mają kluczowe znaczenie dla podstawowych funkcji witryny i witryna nie będzie działać w zamierzony sposób bez nich.Te pliki cookie nie przechowują żadnych danych umożliwiających identyfikację osoby.
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}",Niezbędne pliki cookie mają kluczowe znaczenie dla podstawowych funkcji witryny i witryna nie będzie działać w zamierzony sposób bez nich.Te pliki cookie nie przechowują żadnych danych umożliwiających identyfikację osoby.
div,{'class': ['cky-accordion-body']},"Plik cookierecCzas trwania1 rokOpisTen plik cookie jest używany  do identyfikacji koszyka zakupowego i listy życzeń klienta.Plik cookiePHPSESSIDCzas trwaniasesjaOpisTen plik cookie jest natywny dla aplikacji PHP. Ten plik cookie przechowuje i określa unikalny identyfikator sesji użytkownika w celu zarządzania sesjami użytkowników w witrynie. Ten plik cookie jest plikiem sesyjnym i zostanie usunięty po zamknięciu wszystkich okien przeglądarki.Plik cookie_gcl_auCzas trwania3 miesiąceOpisGoogle Tag Manager ustawia ten plik cookie, aby sprawdzić skuteczność reklamową witryn korzystających z ich usług.Plik cookiecookieyes-consentCzas trwania1 rokOpisCookieYes ustawia ten plik cookie w celu zapamiętania preferencji zgody użytkowników, aby ich preferencje były respektowane podczas kolejnych wizyt na tej witrynie. Nie zbiera on ani nie przechowuje żadnych danych osobowych osób odwiedzających witrynę."
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}","Plik cookierecCzas trwania1 rokOpisTen plik cookie jest używany  do identyfikacji koszyka zakupowego i listy życzeń klienta.Plik cookiePHPSESSIDCzas trwaniasesjaOpisTen plik cookie jest natywny dla aplikacji PHP. Ten plik cookie przechowuje i określa unikalny identyfikator sesji użytkownika w celu zarządzania sesjami użytkowników w witrynie. Ten plik cookie jest plikiem sesyjnym i zostanie usunięty po zamknięciu wszystkich okien przeglądarki.Plik cookie_gcl_auCzas trwania3 miesiąceOpisGoogle Tag Manager ustawia ten plik cookie, aby sprawdzić skuteczność reklamową witryn korzystających z ich usług.Plik cookiecookieyes-consentCzas trwania1 rokOpisCookieYes ustawia ten plik cookie w celu zapamiętania preferencji zgody użytkowników, aby ich preferencje były respektowane podczas kolejnych wizyt na tej witrynie. Nie zbiera on ani nie przechowuje żadnych danych osobowych osób odwiedzających witrynę."
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategoryfunctional'}","FunkcjonalneFunkcjonalne pliki cookie pomagają wykonywać pewne funkcje, takie jak udostępnianie zawartości witryny na platformach mediów społecznościowych, zbieranie informacji zwrotnych i inne funkcje stron trzecich.Plik cookielidcCzas trwania1 dzieńOpisLinkedIn ustawia plik cookie lidc, aby ułatwić wybór centrum danych.Plik cookieUserMatchHistoryCzas trwania1 miesiącOpisLinkedIn ustawia ten plik cookie w celu synchronizacji identyfikatorów LinkedIn Ads.Plik cookieli_gcCzas trwania6 miesięcyOpisLinkedin ustawia ten plik cookie do przechowywania zgody odwiedzającego na używanie plików cookie do celów innych niż zasadnicze."
div,{'class': ['cky-accordion-item']},"FunkcjonalneFunkcjonalne pliki cookie pomagają wykonywać pewne funkcje, takie jak udostępnianie zawartości witryny na platformach mediów społecznościowych, zbieranie informacji zwrotnych i inne funkcje stron trzecich."
div,{'class': ['cky-accordion-header-wrapper']},"FunkcjonalneFunkcjonalne pliki cookie pomagają wykonywać pewne funkcje, takie jak udostępnianie zawartości witryny na platformach mediów społecznościowych, zbieranie informacji zwrotnych i inne funkcje stron trzecich."
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}","Funkcjonalne pliki cookie pomagają wykonywać pewne funkcje, takie jak udostępnianie zawartości witryny na platformach mediów społecznościowych, zbieranie informacji zwrotnych i inne funkcje stron trzecich."
div,{'class': ['cky-accordion-body']},"Plik cookielidcCzas trwania1 dzieńOpisLinkedIn ustawia plik cookie lidc, aby ułatwić wybór centrum danych.Plik cookieUserMatchHistoryCzas trwania1 miesiącOpisLinkedIn ustawia ten plik cookie w celu synchronizacji identyfikatorów LinkedIn Ads.Plik cookieli_gcCzas trwania6 miesięcyOpisLinkedin ustawia ten plik cookie do przechowywania zgody odwiedzającego na używanie plików cookie do celów innych niż zasadnicze."
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}","Plik cookielidcCzas trwania1 dzieńOpisLinkedIn ustawia plik cookie lidc, aby ułatwić wybór centrum danych.Plik cookieUserMatchHistoryCzas trwania1 miesiącOpisLinkedIn ustawia ten plik cookie w celu synchronizacji identyfikatorów LinkedIn Ads.Plik cookieli_gcCzas trwania6 miesięcyOpisLinkedin ustawia ten plik cookie do przechowywania zgody odwiedzającego na używanie plików cookie do celów innych niż zasadnicze."
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategoryanalytics'}","AnalityczneAnalityczne pliki cookie służą do zrozumienia, w jaki sposób użytkownicy wchodzą w interakcję z witryną. Te pliki cookie pomagają dostarczać informacje o metrykach liczby odwiedzających, współczynniku odrzuceń, źródle ruchu itp.Plik cookieCLIDCzas trwania1 rokOpisMicrosoft Clarity set this cookie to store information about how visitors interact with the website. The cookie helps to provide an analysis report. The data collection includes the number of visitors, where they visit the website, and the pages visited.Plik cookie_clckCzas trwania1 rokOpisMicrosoft Clarity sets this cookie to retain the browser's Clarity User ID and settings exclusive to that website. This guarantees that actions taken during subsequent visits to the same website will be linked to the same user ID.Plik cookieSMCzas trwaniasesjaOpisMicrosoft Clarity cookie set this cookie for synchronizing the MUID across Microsoft domains.Plik cookieMRCzas trwania7 dniOpisThis cookie, set by Bing, is used to collect user information for analytics purposes.Plik cookie_gaCzas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics ustawia ten plik cookie, aby zebrać dane dotyczące odwiedzających, sesji i kampanii oraz śledzić korzystanie przez użytkowników z witryny na potrzeby raportu analitycznego. Plik cookie przechowuje informacje w sposób zanonimizowany i przydziela użytkownikom losowo wygenerowany numer w celu identyfikacji odwiedzających.Plik cookieAnalyticsSyncHistoryCzas trwania1 miesiącOpisLinkedin ustawia ten plik cookie w celu przechowywania informacji na temat czasu przeprowadzenia synchronizacji z plikiem cookie lms_analytics.Plik cookie_fbpCzas trwania3 miesiąceOpisFacebook ustawia ten plik cookie w celu wyświetlania reklam podczas korzystania z Facebooka lub innej platformy cyfrowej obsługiwanej przez reklamy Facebooka po odwiedzeniu witryny.Plik cookie_ga_*Czas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics sets this cookie to store and count page views."
div,{'class': ['cky-accordion-item']},"AnalityczneAnalityczne pliki cookie służą do zrozumienia, w jaki sposób użytkownicy wchodzą w interakcję z witryną. Te pliki cookie pomagają dostarczać informacje o metrykach liczby odwiedzających, współczynniku odrzuceń, źródle ruchu itp."
div,{'class': ['cky-accordion-header-wrapper']},"AnalityczneAnalityczne pliki cookie służą do zrozumienia, w jaki sposób użytkownicy wchodzą w interakcję z witryną. Te pliki cookie pomagają dostarczać informacje o metrykach liczby odwiedzających, współczynniku odrzuceń, źródle ruchu itp."
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}","Analityczne pliki cookie służą do zrozumienia, w jaki sposób użytkownicy wchodzą w interakcję z witryną. Te pliki cookie pomagają dostarczać informacje o metrykach liczby odwiedzających, współczynniku odrzuceń, źródle ruchu itp."
div,{'class': ['cky-accordion-body']},"Plik cookieCLIDCzas trwania1 rokOpisMicrosoft Clarity set this cookie to store information about how visitors interact with the website. The cookie helps to provide an analysis report. The data collection includes the number of visitors, where they visit the website, and the pages visited.Plik cookie_clckCzas trwania1 rokOpisMicrosoft Clarity sets this cookie to retain the browser's Clarity User ID and settings exclusive to that website. This guarantees that actions taken during subsequent visits to the same website will be linked to the same user ID.Plik cookieSMCzas trwaniasesjaOpisMicrosoft Clarity cookie set this cookie for synchronizing the MUID across Microsoft domains.Plik cookieMRCzas trwania7 dniOpisThis cookie, set by Bing, is used to collect user information for analytics purposes.Plik cookie_gaCzas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics ustawia ten plik cookie, aby zebrać dane dotyczące odwiedzających, sesji i kampanii oraz śledzić korzystanie przez użytkowników z witryny na potrzeby raportu analitycznego. Plik cookie przechowuje informacje w sposób zanonimizowany i przydziela użytkownikom losowo wygenerowany numer w celu identyfikacji odwiedzających.Plik cookieAnalyticsSyncHistoryCzas trwania1 miesiącOpisLinkedin ustawia ten plik cookie w celu przechowywania informacji na temat czasu przeprowadzenia synchronizacji z plikiem cookie lms_analytics.Plik cookie_fbpCzas trwania3 miesiąceOpisFacebook ustawia ten plik cookie w celu wyświetlania reklam podczas korzystania z Facebooka lub innej platformy cyfrowej obsługiwanej przez reklamy Facebooka po odwiedzeniu witryny.Plik cookie_ga_*Czas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics sets this cookie to store and count page views."
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}","Plik cookieCLIDCzas trwania1 rokOpisMicrosoft Clarity set this cookie to store information about how visitors interact with the website. The cookie helps to provide an analysis report. The data collection includes the number of visitors, where they visit the website, and the pages visited.Plik cookie_clckCzas trwania1 rokOpisMicrosoft Clarity sets this cookie to retain the browser's Clarity User ID and settings exclusive to that website. This guarantees that actions taken during subsequent visits to the same website will be linked to the same user ID.Plik cookieSMCzas trwaniasesjaOpisMicrosoft Clarity cookie set this cookie for synchronizing the MUID across Microsoft domains.Plik cookieMRCzas trwania7 dniOpisThis cookie, set by Bing, is used to collect user information for analytics purposes.Plik cookie_gaCzas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics ustawia ten plik cookie, aby zebrać dane dotyczące odwiedzających, sesji i kampanii oraz śledzić korzystanie przez użytkowników z witryny na potrzeby raportu analitycznego. Plik cookie przechowuje informacje w sposób zanonimizowany i przydziela użytkownikom losowo wygenerowany numer w celu identyfikacji odwiedzających.Plik cookieAnalyticsSyncHistoryCzas trwania1 miesiącOpisLinkedin ustawia ten plik cookie w celu przechowywania informacji na temat czasu przeprowadzenia synchronizacji z plikiem cookie lms_analytics.Plik cookie_fbpCzas trwania3 miesiąceOpisFacebook ustawia ten plik cookie w celu wyświetlania reklam podczas korzystania z Facebooka lub innej platformy cyfrowej obsługiwanej przez reklamy Facebooka po odwiedzeniu witryny.Plik cookie_ga_*Czas trwania1 rok 1 miesiąc 4 dniOpisGoogle Analytics sets this cookie to store and count page views."
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategoryperformance'}","WydajnościoweWydajnościowe pliki cookie służą do zrozumienia i analizy kluczowych wskaźników wydajności witryny, co pomaga zapewnić lepsze wrażenia użytkownika dla odwiedzających.Plik cookieMSPTCCzas trwania1 rok 24 dniOpisDescription is currently not available.Plik cookieSRM_BCzas trwania1 rok 24 dniOpisUsed by Microsoft Advertising as a unique ID for visitors.Plik cookie_uetsidCzas trwania1 dzieńOpisBing Ads sets this cookie to engage with a user that has previously visited the website.Plik cookie_uetvidCzas trwania1 rok 24 dniOpisBing Ads sets this cookie to engage with a user that has previously visited the website."
div,{'class': ['cky-accordion-item']},"WydajnościoweWydajnościowe pliki cookie służą do zrozumienia i analizy kluczowych wskaźników wydajności witryny, co pomaga zapewnić lepsze wrażenia użytkownika dla odwiedzających."
div,{'class': ['cky-accordion-header-wrapper']},"WydajnościoweWydajnościowe pliki cookie służą do zrozumienia i analizy kluczowych wskaźników wydajności witryny, co pomaga zapewnić lepsze wrażenia użytkownika dla odwiedzających."
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}","Wydajnościowe pliki cookie służą do zrozumienia i analizy kluczowych wskaźników wydajności witryny, co pomaga zapewnić lepsze wrażenia użytkownika dla odwiedzających."
div,{'class': ['cky-accordion-body']},Plik cookieMSPTCCzas trwania1 rok 24 dniOpisDescription is currently not available.Plik cookieSRM_BCzas trwania1 rok 24 dniOpisUsed by Microsoft Advertising as a unique ID for visitors.Plik cookie_uetsidCzas trwania1 dzieńOpisBing Ads sets this cookie to engage with a user that has previously visited the website.Plik cookie_uetvidCzas trwania1 rok 24 dniOpisBing Ads sets this cookie to engage with a user that has previously visited the website.
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}",Plik cookieMSPTCCzas trwania1 rok 24 dniOpisDescription is currently not available.Plik cookieSRM_BCzas trwania1 rok 24 dniOpisUsed by Microsoft Advertising as a unique ID for visitors.Plik cookie_uetsidCzas trwania1 dzieńOpisBing Ads sets this cookie to engage with a user that has previously visited the website.Plik cookie_uetvidCzas trwania1 rok 24 dniOpisBing Ads sets this cookie to engage with a user that has previously visited the website.
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategoryadvertisement'}","ReklamoweReklamowe pliki cookie służą do dostarczania użytkownikom spersonalizowanych reklam w oparciu o strony, które odwiedzili wcześniej, oraz do analizowania skuteczności kampanii reklamowej.Plik cookietest_cookieCzas trwania15 minutOpisdoubleclick.net ustawia ten plik cookie, aby określić, czy przeglądarka użytkownika obsługuje pliki cookie.Plik cookieMUIDCzas trwania1 rok 24 dniOpisBing ustawia ten plik cookie w celu rozpoznawania unikalnych przeglądarek internetowych odwiedzających witryny Microsoft. Ten plik cookie służy do celów reklamowych, analizy witryny i innych operacji.Plik cookieANONCHKCzas trwania10 minutOpisThe ANONCHK cookie, set by Bing, is used to store a user's session ID and verify ads' clicks on the Bing search engine. The cookie helps in reporting and personalization as well.Plik cookieli_sugrCzas trwania3 miesiąceOpisLinkedIn sets this cookie to collect user behaviour data to optimise the website and make advertisements on the website more relevant.Plik cookiebcookieCzas trwania1 rokOpisLinkedIn umieszcza ten plik cookie za pomocą przycisków udostępniania LinkedIn i znaczników reklamowych w celu rozpoznania identyfikatorów przeglądarki.Plik cookiebscookieCzas trwania1 rokOpisLinkedIn ustawia ten plik cookie do zapisywania akcji wykonywanych w witrynie.Plik cookieIDECzas trwania1 rok 24 dniOpisPliki cookie Google DoubleClick IDE przechowują informacje o tym, jak użytkownik korzysta z witryny, aby wyświetlać mu reklamy zgodnie z jego profilem."
div,{'class': ['cky-accordion-item']},"ReklamoweReklamowe pliki cookie służą do dostarczania użytkownikom spersonalizowanych reklam w oparciu o strony, które odwiedzili wcześniej, oraz do analizowania skuteczności kampanii reklamowej."
div,{'class': ['cky-accordion-header-wrapper']},"ReklamoweReklamowe pliki cookie służą do dostarczania użytkownikom spersonalizowanych reklam w oparciu o strony, które odwiedzili wcześniej, oraz do analizowania skuteczności kampanii reklamowej."
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}","Reklamowe pliki cookie służą do dostarczania użytkownikom spersonalizowanych reklam w oparciu o strony, które odwiedzili wcześniej, oraz do analizowania skuteczności kampanii reklamowej."
div,{'class': ['cky-accordion-body']},"Plik cookietest_cookieCzas trwania15 minutOpisdoubleclick.net ustawia ten plik cookie, aby określić, czy przeglądarka użytkownika obsługuje pliki cookie.Plik cookieMUIDCzas trwania1 rok 24 dniOpisBing ustawia ten plik cookie w celu rozpoznawania unikalnych przeglądarek internetowych odwiedzających witryny Microsoft. Ten plik cookie służy do celów reklamowych, analizy witryny i innych operacji.Plik cookieANONCHKCzas trwania10 minutOpisThe ANONCHK cookie, set by Bing, is used to store a user's session ID and verify ads' clicks on the Bing search engine. The cookie helps in reporting and personalization as well.Plik cookieli_sugrCzas trwania3 miesiąceOpisLinkedIn sets this cookie to collect user behaviour data to optimise the website and make advertisements on the website more relevant.Plik cookiebcookieCzas trwania1 rokOpisLinkedIn umieszcza ten plik cookie za pomocą przycisków udostępniania LinkedIn i znaczników reklamowych w celu rozpoznania identyfikatorów przeglądarki.Plik cookiebscookieCzas trwania1 rokOpisLinkedIn ustawia ten plik cookie do zapisywania akcji wykonywanych w witrynie.Plik cookieIDECzas trwania1 rok 24 dniOpisPliki cookie Google DoubleClick IDE przechowują informacje o tym, jak użytkownik korzysta z witryny, aby wyświetlać mu reklamy zgodnie z jego profilem."
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}","Plik cookietest_cookieCzas trwania15 minutOpisdoubleclick.net ustawia ten plik cookie, aby określić, czy przeglądarka użytkownika obsługuje pliki cookie.Plik cookieMUIDCzas trwania1 rok 24 dniOpisBing ustawia ten plik cookie w celu rozpoznawania unikalnych przeglądarek internetowych odwiedzających witryny Microsoft. Ten plik cookie służy do celów reklamowych, analizy witryny i innych operacji.Plik cookieANONCHKCzas trwania10 minutOpisThe ANONCHK cookie, set by Bing, is used to store a user's session ID and verify ads' clicks on the Bing search engine. The cookie helps in reporting and personalization as well.Plik cookieli_sugrCzas trwania3 miesiąceOpisLinkedIn sets this cookie to collect user behaviour data to optimise the website and make advertisements on the website more relevant.Plik cookiebcookieCzas trwania1 rokOpisLinkedIn umieszcza ten plik cookie za pomocą przycisków udostępniania LinkedIn i znaczników reklamowych w celu rozpoznania identyfikatorów przeglądarki.Plik cookiebscookieCzas trwania1 rokOpisLinkedIn ustawia ten plik cookie do zapisywania akcji wykonywanych w witrynie.Plik cookieIDECzas trwania1 rok 24 dniOpisPliki cookie Google DoubleClick IDE przechowują informacje o tym, jak użytkownik korzysta z witryny, aby wyświetlać mu reklamy zgodnie z jego profilem."
div,"{'class': ['cky-accordion'], 'id': 'ckyDetailCategoryother'}","Bez kategoriiInne pliki cookie bez kategorii to te, które są analizowane i nie zostały jeszcze sklasyfikowane w żadnej kategorii.Brak plików cookie do wyświetlenia."
div,{'class': ['cky-accordion-item']},"Bez kategoriiInne pliki cookie bez kategorii to te, które są analizowane i nie zostały jeszcze sklasyfikowane w żadnej kategorii."
div,{'class': ['cky-accordion-header-wrapper']},"Bez kategoriiInne pliki cookie bez kategorii to te, które są analizowane i nie zostały jeszcze sklasyfikowane w żadnej kategorii."
div,"{'class': ['cky-accordion-header-des'], 'data-cky-tag': 'detail-category-description', 'style': 'color: #212121;'}","Inne pliki cookie bez kategorii to te, które są analizowane i nie zostały jeszcze sklasyfikowane w żadnej kategorii."
div,{'class': ['cky-accordion-body']},Brak plików cookie do wyświetlenia.
div,"{'class': ['cky-audit-table'], 'data-cky-tag': 'audit-table', 'style': 'color: #212121; border-color: #EBEBEB; background-color: #F4F4F4;'}",Brak plików cookie do wyświetlenia.
div,{'class': ['consent']},"Wyrażam zgodę na przetwarzanie moich danych osobowych w celu wysyłki wiadomości typu Newsletter oraz potwierdzam, że zapoznałam/em się zinformacjami dla subskrybentów usługi Newsletteriinformacjami o Ochronie Danych Osobowych."
